key,text,tag,file
Hediff_InsectEgg_egg,egg,Hediff_InsectEgg_egg,Hediff_InsectEgg.xml
Hediff_InsectEgg_small,Small egg,Hediff_InsectEgg_small,Hediff_InsectEgg.xml
Hediff_InsectEgg_medium,Medium egg,Hediff_InsectEgg_medium,Hediff_InsectEgg.xml
Hediff_InsectEgg_big,Big egg,Hediff_InsectEgg_big,Hediff_InsectEgg.xml
Hediff_InsectEgg_huge,Huge egg,Hediff_InsectEgg_huge,Hediff_InsectEgg.xml
Hediff_InsectEgg_fertilized,Fertilized,Hediff_InsectEgg_fertilized,Hediff_InsectEgg.xml
Hediff_InsectEgg_unfertilized,Unfertilized,Hediff_InsectEgg_unfertilized,Hediff_InsectEgg.xml
PawnCantRapeCP,The target isn't healthy enough or is in a forbidden location.,PawnCantRapeCP,RimJobWorldKeys.xml
PawnCantRapeCP0,"The pawn doesn't need sex, is not healthy, or cannot rape.",PawnCantRapeCP0,RimJobWorldKeys.xml
PawnCantRapeCP1,The pawn is not single or their partner is nearby.,PawnCantRapeCP1,RimJobWorldKeys.xml
PawnCantRapeCP2,The pawn is not a zoophile so they can't rape animals.,PawnCantRapeCP2,RimJobWorldKeys.xml
CommandSubmit,Submit,CommandSubmit,RimJobWorldKeys.xml
CommandSubmitDesc,Lay down and accept whatever is to cum.,CommandSubmitDesc,RimJobWorldKeys.xml
RJW_PregnantTitle,{0} is pregnant.,RJW_PregnantTitle,RimJobWorldKeys.xml
RJW_PregnantText,"{0} is pregnant and is going to be a mother soon. Be aware, starvation and trauma may result in loss of child.",RJW_PregnantText,RimJobWorldKeys.xml
RJW_Contractions,{0} is having contractions! Baby(ies) is(are) on the way!,RJW_Contractions,RimJobWorldKeys.xml
RJW_GaveBirthTitle,Birthing done.,RJW_GaveBirthTitle,RimJobWorldKeys.xml
RJW_GaveBirthText,{0} has successfully given birth to,RJW_GaveBirthText,RimJobWorldKeys.xml
RJW_ABaby,her baby.,RJW_ABaby,RimJobWorldKeys.xml
RJW_NBabies,her {0} babies.,RJW_NBabies,RimJobWorldKeys.xml
RJW_PregnantNormal,Have a healthy baby...,RJW_PregnantNormal,RimJobWorldKeys.xml
RJW_PregnantStrange,Something is unusual about the baby...,RJW_PregnantStrange,RimJobWorldKeys.xml
RJW_PregnantMechStrange,Something is very strange about the baby...,RJW_PregnantMechStrange,RimJobWorldKeys.xml
RJW_GaveBirthEggTitle,Birthed egg.,RJW_GaveBirthEggTitle,RimJobWorldKeys.xml
RJW_GaveBirthEggText,{0} laid eggs,RJW_GaveBirthEggText,RimJobWorldKeys.xml
RJW_EggContractions,{0} is having contractions! Eggs are on the way!,RJW_EggContractions,RimJobWorldKeys.xml
RJW_AlertRape,{RAPIST} is trying to rape {TARGET}.,RJW_AlertRape,RimJobWorldKeys.xml
RJW_AlertAssault,{RAPIST} is trying to assault {TARGET}.,RJW_AlertAssault,RimJobWorldKeys.xml
RJW_AlertBreed,{RAPIST} is trying to breed {TARGET}.,RJW_AlertBreed,RimJobWorldKeys.xml
RJW_AlertRapeRelated,"{RAPIST} is trying to rape {TARGET}, {RAPIST_possessive} {RELATION}.",RJW_AlertRapeRelated,RimJobWorldKeys.xml
RJW_AlertAssaultRelated,"{RAPIST} is trying to assault {TARGET}, {RAPIST_possessive} {RELATION}.",RJW_AlertAssaultRelated,RimJobWorldKeys.xml
RJW_AlertBreedRelated,"{RAPIST} is trying to breed {TARGET}, {RAPIST_possessive} {RELATION}.",RJW_AlertBreedRelated,RimJobWorldKeys.xml
RJW_AlertBeeingRaped,{TARGET} is getting raped.,RJW_AlertBeeingRaped,RimJobWorldKeys.xml
GoToModSettings,This space is reserved for optional RJW features that are either turned off or unavailable for the selected pawn/animal.\nCheck the fucking mod options and stop asking if THIS is normal.,GoToModSettings,RimJobWorldKeys.xml
ForComfort,Use for comfort,ForComfort,RimJobWorldKeys.xml
ForComfortDesc,Mark for comforting sex,ForComfortDesc,RimJobWorldKeys.xml
ForComfortRefuseDesc,Won't agree to be used for comfort\nReq: masochist trait,ForComfortRefuseDesc,RimJobWorldKeys.xml
ForService,Assign to whorin',ForService,RimJobWorldKeys.xml
ForServiceDesc,"Mark for whoring
- Will try to hook up with visitors.
- Entertains other colonists if not busy.
- Tries to refrain from masturbation while on the job, may cause frustration.",ForServiceDesc,RimJobWorldKeys.xml
ForServiceRefuseDesc,Won't agree to be a whore,ForServiceRefuseDesc,RimJobWorldKeys.xml
ForBreeding,For animals,ForBreeding,RimJobWorldKeys.xml
ForBreedingDesc,Mark for animal breeding,ForBreedingDesc,RimJobWorldKeys.xml
ForBreedingRefuseDesc,Won't agree to be mounted by animals\nReq: zoophile trait,ForBreedingRefuseDesc,RimJobWorldKeys.xml
ForBreedingAnimalDesc,Allow this animal to mount designated breeders,ForBreedingAnimalDesc,RimJobWorldKeys.xml
BreedMessage,is trying to breed,BreedMessage,RimJobWorldKeys.xml
ForMilking,Designate dairy,ForMilking,RimJobWorldKeys.xml
ForMilkingDesc,Harvest biological materials from this being,ForMilkingDesc,RimJobWorldKeys.xml
ForHero,Designate Hero,ForHero,RimJobWorldKeys.xml
ForHeroDesc,"Set pawn as player character
-Can only be set once.
-Can't be turned off.",ForHeroDesc,RimJobWorldKeys.xml
ForHeroRefuse1Desc,This is hero of other player,ForHeroRefuse1Desc,RimJobWorldKeys.xml
ForHeroRefuse2Desc,You have no right to change designation,ForHeroRefuse2Desc,RimJobWorldKeys.xml
ForHeroRefuseHCDesc,Non hero colonist in HC mode,ForHeroRefuseHCDesc,RimJobWorldKeys.xml
RJW_PartInfo_braCup,Bra cup: {0},RJW_PartInfo_braCup,RimJobWorldKeys.xml
RJW_PartInfo_braSizeNone,Bra size: -,RJW_PartInfo_braSizeNone,RimJobWorldKeys.xml
RJW_PartInfo_eggs,Eggs: {0},RJW_PartInfo_eggs,RimJobWorldKeys.xml
RJW_PartInfo_fluidTypeFluidAmount,{0}: {1},RJW_PartInfo_fluidTypeFluidAmount,RimJobWorldKeys.xml
RJW_PartInfo_braSize,Bra size: {0}:{1},RJW_PartInfo_braSize,RimJobWorldKeys.xml
RJW_PartInfo_overbust,Overbust: {0},RJW_PartInfo_overbust,RimJobWorldKeys.xml
RJW_PartInfo_underbust,Underbust: {0},RJW_PartInfo_underbust,RimJobWorldKeys.xml
RJW_PartInfo_weight,Weight: {0},RJW_PartInfo_weight,RimJobWorldKeys.xml
RJW_PartInfo_properties,Properties: {0},RJW_PartInfo_properties,RimJobWorldKeys.xml
RJW_PartInfo_severity,Severity: {0},RJW_PartInfo_severity,RimJobWorldKeys.xml
RJW_PartInfo_fluidMultiplier,Fluid Multiplier: {0},RJW_PartInfo_fluidMultiplier,RimJobWorldKeys.xml
RJW_PartInfo_girth,Girth: {0},RJW_PartInfo_girth,RimJobWorldKeys.xml
RJW_PartInfo_length,Length: {0},RJW_PartInfo_length,RimJobWorldKeys.xml
RJW_PartInfo_depth,Depth: {0},RJW_PartInfo_depth,RimJobWorldKeys.xml
RJW_PartInfo_maxGirth,Max Girth: {0},RJW_PartInfo_maxGirth,RimJobWorldKeys.xml
RJW_PartInfo_maxLength,Max Length: {0},RJW_PartInfo_maxLength,RimJobWorldKeys.xml
RJW_PartInfo_fluidTypeFluidAmountHeading,Fluid: {0} ({1}ml),RJW_PartInfo_fluidTypeFluidAmountHeading,RimJobWorldKeys.xml
RJW_PartInfo_unknownSpecies,Unknown species,RJW_PartInfo_unknownSpecies,RimJobWorldKeys.xml
RJW_PartInfo_unknownOwner,Unknown,RJW_PartInfo_unknownOwner,RimJobWorldKeys.xml
RJW_StatEntry_PreviousOwner,previous owner,RJW_StatEntry_PreviousOwner,RimJobWorldKeys.xml
RJW_StatEntry_OriginalOwnerRace,original race,RJW_StatEntry_OriginalOwnerRace,RimJobWorldKeys.xml
RJW_StatEntry_OriginalOwnerSize,original size,RJW_StatEntry_OriginalOwnerSize,RimJobWorldKeys.xml
RJW_StatEntry_PartSize,size,RJW_StatEntry_PartSize,RimJobWorldKeys.xml
RJW_StatEntry_PartCupSize,cup size,RJW_StatEntry_PartCupSize,RimJobWorldKeys.xml
RJW_StatEntry_PartLength,length,RJW_StatEntry_PartLength,RimJobWorldKeys.xml
RJW_StatEntry_PartGirth,girth,RJW_StatEntry_PartGirth,RimJobWorldKeys.xml
RJW_StatEntry_PartMaxGirth,max girth,RJW_StatEntry_PartMaxGirth,RimJobWorldKeys.xml
RJW_StatEntry_PartDepth,depth,RJW_StatEntry_PartDepth,RimJobWorldKeys.xml
RJW_StatEntry_PartWeight,weight,RJW_StatEntry_PartWeight,RimJobWorldKeys.xml
RJW_StatEntry_PartTags,properties,RJW_StatEntry_PartTags,RimJobWorldKeys.xml
RJW_StatEntry_Fluid,fluid,RJW_StatEntry_Fluid,RimJobWorldKeys.xml
RJW_StatEntry_FluidAmount,fluid amount,RJW_StatEntry_FluidAmount,RimJobWorldKeys.xml
RJW_StatEntry_FluidAmount_ejaculation,ejaculation amount,RJW_StatEntry_FluidAmount_ejaculation,RimJobWorldKeys.xml
RJW_StatEntry_FluidAmount_wetness,wetness,RJW_StatEntry_FluidAmount_wetness,RimJobWorldKeys.xml
AgeImpactor,Age:,AgeImpactor,RimJobWorldKeys.xml
VanillaFertilityImpactor,Fertility stat: {VALUE}%,VanillaFertilityImpactor,RimJobWorldKeys.xml
RJW_nymph_incident_raid_title,Nymphs!!!,RJW_nymph_incident_raid_title,RimJobWorldKeys.xml
RJW_nymph_incident_raid_description,A group of nymphs has wandered into your settlement.,RJW_nymph_incident_raid_description,RimJobWorldKeys.xml
RJW_nymph_incident_wander_title,Nymph!,RJW_nymph_incident_wander_title,RimJobWorldKeys.xml
RJW_nymph_incident_wander_description,A wandering nymph has decided to visit your settlement.,RJW_nymph_incident_wander_description,RimJobWorldKeys.xml
RJW_nymph_incident_join_title,Nymph Joins,RJW_nymph_incident_join_title,RimJobWorldKeys.xml
RJW_nymph_incident_join_description,A wandering nymph has decided to join your settlement.,RJW_nymph_incident_join_description,RimJobWorldKeys.xml
